id,text,label,category,severity,risk_signals,explanation,action,source
1,"Enter your UPI PIN to receive ₹5,000 cashback.",SCAM,UPI_PAYMENT_FRAUD,CRITICAL,"upi_pin_request|cashback","Receiving money should not require sharing or entering a UPI PIN for an unknown request.","Do not enter your UPI PIN.","seed"
2,"Scan this QR code to receive your refund of ₹2,500.",SCAM,QR_CODE_FRAUD,HIGH,"qr_code|refund","Fraudsters may use QR codes to trick users into authorizing payments.","Do not scan unknown QR codes for receiving money.","seed"
3,"You won ₹10,000. Approve the collect request and enter your UPI PIN.",SCAM,UPI_PAYMENT_FRAUD,CRITICAL,"prize|collect_request|upi_pin_request","A collect request can result in money leaving your account.","Do not approve the request.","seed"
4,"Your payment failed. Enter your UPI PIN again to receive a refund.",SCAM,UPI_PAYMENT_FRAUD,CRITICAL,"upi_pin_request|refund","Uses a fake refund scenario to obtain payment authorization.","Verify the transaction in your official payment app.","seed"
5,"We accidentally sent you money. Approve the request and enter your UPI PIN to return it.",SCAM,UPI_PAYMENT_FRAUD,HIGH,"collect_request|upi_pin_request","May attempt to trick the user into authorizing a payment.","Verify directly in your UPI app.","seed"
6,"Complete this reward withdrawal by entering your UPI PIN.",SCAM,UPI_PAYMENT_FRAUD,CRITICAL,"reward|upi_pin_request","Uses a reward promise to obtain payment authorization.","Do not enter your UPI PIN.","seed"
7,"You have received ₹500 from Rahul via UPI.",SAFE,UPI_TRANSACTION,LOW,"transaction_notification","Standard transaction notification.","Verify the transaction in your payment app if needed.","seed"
8,"Your UPI payment of ₹250 to Merchant Store was successful.",SAFE,UPI_TRANSACTION,LOW,"transaction_notification","Standard payment confirmation.","Review the transaction details if you did not authorize it.","seed"
9,"A payment request of ₹300 has been received. Review the request carefully before approving.",SAFE,UPI_NOTIFICATION,MEDIUM,"payment_request","A payment request notification itself is not necessarily fraudulent.","Review the requester and amount before taking action.","seed"
10,"Your UPI transaction was declined due to insufficient balance.",SAFE,UPI_TRANSACTION,LOW,"transaction_notification","Standard transaction status notification.","Check your account through the official app.","seed"
