id,text,label,category,severity,risk_signals,explanation,action,source
1,"URGENT: Your bank account has been suspended. Verify immediately at http://secure-bank-update.xyz",SCAM,PHISHING,HIGH,"urgency|account_threat|suspicious_link","Creates urgency and directs the user to a suspicious verification link.","Do not click the link. Contact your bank through its official app or website.","seed"
2,"Your account will be blocked today. Update your KYC now: http://kyc-update-secure.xyz",SCAM,PHISHING,HIGH,"urgency|account_threat|kyc_request|suspicious_link","Threatens account blocking and requests KYC through an unverified link.","Do not open the link. Verify KYC requests with the official institution.","seed"
3,"Congratulations! You have won a reward. Claim now at http://claim-reward-now.xyz",SCAM,PHISHING,HIGH,"reward|urgency|suspicious_link","Uses an unexpected reward to encourage clicking a suspicious link.","Do not click the link or provide personal information.","seed"
4,"Your password expires today. Reset immediately using http://secure-password-reset.xyz",SCAM,PHISHING,HIGH,"urgency|password_request|suspicious_link","Creates urgency and directs the user to an unverified password reset page.","Use only the official website or app to change your password.","seed"
5,"Dear customer, unusual activity detected. Secure your account here: http://account-security-alert.xyz",SCAM,PHISHING,HIGH,"fear|account_security|suspicious_link","Uses fear about account activity to push the user toward a suspicious link.","Do not click the link. Check account activity through the official app.","seed"
6,"Your parcel is waiting. Pay a small delivery fee here: http://delivery-fee.xyz",SCAM,PHISHING,HIGH,"delivery|payment_request|suspicious_link","Requests payment through an unexpected delivery link.","Verify the delivery directly with the official courier.","seed"
7,"Income tax refund approved. Submit bank details at http://tax-refund-claim.xyz",SCAM,PHISHING,CRITICAL,"refund|bank_details|suspicious_link","Attempts to collect sensitive bank information using a fake refund claim.","Do not submit bank details. Use the official tax portal.","seed"
8,"Your social media account will be deleted in 24 hours. Verify now: http://social-verify.xyz",SCAM,PHISHING,HIGH,"urgency|account_threat|suspicious_link","Threatens account deletion to force immediate action.","Open the official social media app instead of the link.","seed"
9,"Security alert: confirm your card details at http://card-secure-check.xyz",SCAM,PHISHING,CRITICAL,"card_details|security_alert|suspicious_link","Attempts to steal payment card information.","Never provide card details through an unverified link.","seed"
10,"Your subscription payment failed. Update payment details: http://payment-update.xyz",SCAM,PHISHING,HIGH,"payment|account_threat|suspicious_link","Uses a payment problem to request sensitive information.","Verify billing information through the official service.","seed"
